mat_size,avg times
3,7879.6
4,13272.1
5,28115.2
6,40677
7,108607.3
8,49837.5
9,62364.8
10,85944.7
11,103208.5
12,142730
13,172881.6
14,208506
15,76689.2
16,44347.9
17,40064.7
18,46266.3
19,54635.1
20,129739.1
21,140302.6
22,140034.4
23,41786.3
24,13686.4
25,15319.7
26,17417.4
27,19320.6
28,25404.8
29,25409
30,25806.8
31,29536.1
32,31986.9
33,36115.7
34,40699.8
35,41131.6
36,44738.1
37,48094.5
38,52438.6
39,56299.8
40,60058.6
41,64835.6
42,69472.9
43,75472.9
44,80199.8
45,87057.1
46,90452.2
47,96110.3
48,100205.7
49,106622.2
50,111728.1
51,128702.5
52,131039.3
53,139173.5
54,146809.7
55,161881.2
56,161704.1
57,176990.7
58,179036.9
59,192437.1
60,204801.3
61,209217.6
62,216828.2
63,230716.9
64,239818.9
65,253678
66,264989.6
67,282607.6
68,287133.4
69,324844.7
70,314010.3
71,371941.2
72,371860
73,394418.5
74,396861.4
75,420120.8
76,429858
77,447835.7
78,450022.8
79,493180
80,498320.9
81,534326.6
82,538583.7
83,569999.7
84,582249.1
85,617469.6
86,620168.6
87,648673.8
88,651035.6
89,704684.1
90,704818.1
91,748062.8
92,768301.7
93,791396.1
94,806111.5
95,862093.3
96,846524.3
97,898977.1
98,928946.2
99,937168.7
100,979361.2
101,997126.5
102,1058588.4
103,1093728.9
104,1106513.4
105,1167451.5
106,1164035.8
107,1226060
108,1217788.7
109,1517125.6
110,1519590.6
111,1338242.7
112,1626426.8
113,1414529.3
114,1452177
115,1535752.6
116,1531413.5
117,1576527.1
118,1611754.6
119,1656643.5
120,1682791.1
121,1748519.3
122,1767115.4
123,3055580.8
124,3066148.3
125,1921761.3
126,2013926.8
127,2078367.3
128,2050273
129,2080853.2
130,2044230.6
131,2045029.2
132,2050270.7
133,2231381.7
134,2217529.9
135,2276433.9
136,2287841.2
137,2287681
138,2303604.3
139,2392992.8
140,2482618
141,3060307.9
142,3260950.1
143,2706372.4
144,3119701.2
145,2714150.4
146,2758989.7
147,2854985.7
148,2982908.3
149,3076844.3
150,3055867.8
151,3034381.9
152,3078924
153,3228265.6
154,3514020.6
155,4440917.5
156,4387878.4
157,3435215.4
158,4279253.9
159,3901314.5
160,3885110.1
161,3881078
162,3928568.2
163,3932493.2
164,3903835.1
165,4123647.2
166,4872120.4
167,4164177.8
168,4375383.7
169,4362823
170,4406083.5
171,4460121.4
172,4556292.3
173,5509630.8
174,5557910.9
175,4738265.1
176,4902433.1
177,5001877
178,5018504.5
179,5175238.1
180,5264256.6
181,6794663.7
182,7283970.8
183,5564859.1
184,5770718.5
185,5643803.1
186,5757043.3
187,10551146.3
188,10357895.6
189,6366991.6
190,6553652
191,6505357.4
192,6870103.9
193,7110189.6
194,6962642.7
195,7024363.4
196,7326019.2
197,7044779
198,7014618.7
199,7403841.2
200,7356918.9
201,8039815.3
202,8417512.9
203,8227134.4
204,8376581.7
205,9575292.4
206,9676119.6
207,9350771
208,9963371.4
209,8890849.1
210,9188280.3
211,9597431.6
212,9679498.5
213,9777990.8
214,9667810.3
215,9600562.2
216,9802827.7
217,10173546.3
218,9824304.1
219,13852941.5
220,14439010.2
221,10370267.6
222,10937581
223,12250863.7
224,13294044.2
225,11679085.8
226,12016395.9
227,12173330.5
228,12130909.8
229,14216335.5
230,14447742.1
231,13825465.1
232,14262350.9
233,13265758.8
234,13498540.1
235,13532293.7
236,13245513
237,14440751.5
238,15428124.1
239,15281260
240,15977820.9
241,16593592.8
242,16754335.5
243,15270794.4
244,15042880.7
245,17329273
246,17355027.7
247,16596309.9
248,16488933.9
249,17915272.3
