mat_size,avg_skip_zero,avg_native,
3,430,623
4,434,646
5,807,1113
6,1123,1873
7,1691,2920
8,24810,4480
9,3215,5753
10,6569,7702
11,5519,10330
12,66728,47560
13,1663,1883
14,2111,2182
15,2490,2721
16,2883,3268
17,3559,3956
18,4345,4593
19,5737,5626
20,9200,6194
21,9765,13470
22,11332,14147
23,2177,14961
24,2608,14961
25,2890,18278
26,3316,14910
27,3444,2002
28,3867,2098
29,5365,3784
30,4928,2632
31,5400,2970
32,5897,3141
33,6437,3460
34,6943,3731
35,7624,4164
36,7964,4340
37,9788,6845
38,9774,5136
39,13253,5728
40,10964,5856
41,11694,6250
42,12929,7024
43,13489,7233
44,14756,8221
45,16056,8443
46,17041,9073
47,18014,10156
48,19474,10390
49,22357,14195
50,22086,11490
51,23543,11595
52,24737,12710
53,26383,13462
54,27848,13700
55,28573,15532
56,29945,15824
57,31666,17071
58,33368,17704
59,35320,19596
60,37519,19536
61,39803,20558
62,40979,21453
63,43769,22477
64,44779,23351
65,45326,26003
66,49712,27089
67,55331,26233
68,52026,27473
69,57256,30683
70,58881,30928
71,59137,37445
72,58759,32589
73,67188,37659
74,63466,126764
75,73980,48041
76,77544,44248
77,80427,45333
78,83646,44031
79,81551,48905
80,88835,50033
81,92842,52533
82,93287,52854
83,97065,53920
84,103419,57690
85,103931,62098
86,109158,61415
87,121872,65156
88,120484,66000
89,122046,68590
90,125964,70121
91,129761,73900
92,132986,77387
93,138935,80613
94,145138,83725
95,160356,86742
96,155560,84797
97,149712,80835
98,145294,83164
99,150906,83923
100,166035,96120
101,161476,93846
102,172580,93283
103,173554,99871
104,173424,96537
105,175312,104347
106,185935,105068
107,194520,107710
108,192331,109796
109,198784,133925
110,213825,136660
111,211120,126171
112,219266,118826
113,221202,126733
114,230000,126085
115,240428,161069
116,248918,135383
117,242427,145059
118,268356,147674
119,265305,157056
120,268816,148601
121,281292,156336
122,277654,156582
123,290906,312731
124,311025,294442
125,312865,173571
126,362495,199905
127,312210,177996
128,329182,185577
129,335279,183756
130,343748,186735
131,345114,194839
132,381602,223795
133,361636,203569
134,379559,208352
135,376453,212919
136,386387,213940
137,513786,223148
138,406976,231585
139,488543,272943
140,416592,238611
141,436770,288047
142,447995,299797
143,451194,258244
144,467756,261335
145,482085,264472
146,480070,272683
147,484029,279277
148,691463,320932
149,556704,294711
150,523433,289421
151,579039,309332
152,552013,306452
153,585437,324815
154,576703,314029
155,630151,435133
156,575968,432630
157,642784,376781
158,641403,370736
159,622632,353979
160,625426,351319
161,643839,374698
162,886941,377423
163,687554,387400
164,680907,381959
165,690484,396908
166,699324,413285
167,716398,421637
168,730390,414644
169,745362,428037
170,753488,421497
171,777445,439348
172,1079185,544281
173,805790,564349
174,830467,555011
175,819469,462657
176,828664,470345
177,873060,497321
178,873959,491411
179,901368,497695
180,894949,505174
181,945263,651231
182,920800,684205
183,934564,535504
184,970328,552282
185,1019038,564285
186,1005065,564315
187,1060135,1392862
188,1105292,1077883
189,1036251,618800
190,1071513,646921
191,1127648,617891
192,1157833,612835
193,1141385,678688
194,1255434,710455
195,1162064,688115
196,1259996,698081
197,1256714,704575
198,1259908,691024
199,1271958,842824
200,1449264,1215767
201,1274791,777119
202,1264642,754938
203,1290139,756366
204,1357455,816042
205,1363828,1114489
206,1377634,876395
207,1441057,908909
208,1410615,813178
209,1803259,814810
210,1446147,836471
211,1455745,915801
212,1471967,857915
213,1502788,881518
214,1506956,884124
215,1538024,911842
216,1977995,928084
217,1573609,911469
218,1811507,913693
219,1624522,1348783
220,1645958,1309751
221,1664143,1007375
222,1715783,1052975
223,1732917,1123608
224,1721176,1203012
225,1882030,1055235
226,2016989,1043911
227,1929215,1349422
228,1831862,1137163
229,1853833,1338415
230,1881110,1377718
231,1909704,1203469
232,2338734,1891181
233,2041535,1234885
234,1988089,1270456
235,2025400,1252573
236,2042732,1276406
237,2051009,1367018
238,2147189,1396821
239,2108376,1654982
240,2175736,1556148
241,2303504,1970455
242,2600922,1949626
243,2313863,1438029
244,2244806,1443343
245,2254281,1522603
246,2281280,1576282
247,2806881,2151249
248,2368650,1572284
249,2412708,1523086
