sparsity,numbers_stored_crs,numbers_stored_standard
0.0,601,360000
0.05,36927,360000
0.1,72779,360000
0.15000000000000002,115855,360000
0.2,145305,360000
0.25,180409,360000
0.3,216641,360000
0.35,252235,360000
0.39999999999999997,288753,360000
0.44999999999999996,324221,360000
0.49999999999999994,359977,360000
0.5499999999999999,396681,360000
0.6,431307,360000
0.65,467885,360000
0.7000000000000001,504387,360000
0.7500000000000001,547933,360000
0.8000000000000002,584135,360000
0.8500000000000002,619543,360000
0.9000000000000002,655835,360000
0.9500000000000003,691905,360000
1.0000000000000002,720601,360000
