mat_size,sparsity,time_in_ns_native,time_in_ns_advanced,time_in_ns_crs
200,0,1989913,69811,16431
200,0.02,3265675,53610,95172
200,0.04,1987439,96693,86501
200,0.06,1996657,121304,29575
200,0.08,2264113,153489,41859
200,0.1,2010167,186618,54821
200,0.12,1930318,232880,80327
200,0.14,1951876,272538,118841
200,0.16,2047710,287872,118174
200,0.18,2060919,323091,144595
200,0.2,2083951,356906,172514
200,0.22,2008367,390977,212819
200,0.24,1994062,431227,238838
200,0.26,2051248,487366,281033
200,0.28,1953509,498836,304987
200,0.3,1792757,470498,317014
200,0.32,1851507,498642,360674
200,0.34,1773475,529485,408853
200,0.36,1791775,582952,460920
200,0.38,1835593,621767,514167
200,0.4,1855947,676866,577916
200,0.42,1791179,653491,625249
200,0.44,1836479,707091,676985
200,0.46,1939780,817828,834291
200,0.48,1806803,759646,777733
200,0.5,1785946,795964,854234
200,0.52,1920896,832034,972990
200,0.54,1941591,854985,1029193
200,0.56,1786440,852549,1051157
200,0.58,1812989,915533,1151719
200,0.6,1948340,1181614,1238675
200,0.62,1803769,953768,1276569
200,0.64,1858096,1047272,1403586
200,0.66,1843794,1004260,1526797
200,0.68,1816887,1032884,1500781
200,0.7,1779886,1037691,1603505
200,0.72,1764406,1076781,1685223
200,0.74,1790593,1141633,1809324
200,0.76,1831111,1168136,1862285
200,0.78,1904246,1151857,1972137
200,0.8,1853011,1191488,2055713
200,0.82,1834124,1227570,2207148
200,0.84,1918176,1314809,2272032
200,0.86,1785208,1281758,2539889
200,0.88,1769586,1283553,2464162
200,0.9,2013602,1429317,2649548
200,0.92,1815960,1344124,2663366
200,0.94,1913656,1425146,2831070
200,0.96,1769595,1395767,2959401
200,0.98,1794401,1557587,3072184
200,1,3093131,1433975,3127583
